English_Term,Chinese_Term
Tumor >50 mm in greatest dimension,肿瘤最大径>50 mm
Tumor invades adjacent structures,肿瘤侵及邻近器官
Tumor invades adventitia,肿瘤侵及食管纤维膜
Tumor invades lamina propria or muscularis mucosae,肿瘤侵及固有层或粘膜肌层
Tumor invades muscularis propria,肿瘤侵及固有肌层
Tumor invades serosa (visceral peritoneum),肿瘤侵犯浆膜（脏层腹膜）
Tumor invades submucosa,肿瘤侵及粘膜下层
Tumor marker–related factors,肿瘤标志物相关因素
Tumor size and location,肿瘤大小与部位
Tumor ≤1 mm in greatest dimension,肿瘤最大径≤1 mm
Tumor ≤20 mm in greatest dimension,肿瘤最大径≤20 mm
Tumors that invade the chest wall,侵及胸壁的肿瘤
Tumors with an extensive intraductal component,​伴有大量导管内癌成分
Turcot syndrome: APC gene; MMR genes,​Turcot综合征：APC基因，MMR基因
Two included sputum cytology as well,两项研究也分析了痰细胞学
Undifferentiated Embryonal Sarcoma of the Liver,肝脏未分化胚胎性肉瘤
Use of statins,他汀类药物
Validity of dietary questionnaires used,选用的饮食调查问卷效度
Veterans Administration Lung Study Group (VALG),退伍军人管理局肺癌研究组（VALG）分期系统
Vinorelbine and epirubicin,长春瑞滨联合表柔比星
Virtual Colonoscopy (Computed Tomographic [CT] Colonography),虚拟结肠镜（计算机断层[CT]结肠成像）
Viruses Associated With Hepatitis and/or Hepatocellular Cancer,与肝炎和（或）肝细胞癌相关的病毒
Vitamin E (Tocopherol),维生素E（生育酚）
Vitamin E supplementation,补充维生素E
Vocal cord paralysis,声带麻痹
V—Vena cava or all three hepatic veins,V-下腔静脉或所有三支肝静脉
WHO/IASLC Histologic Classification of NSCLC,WHO/IASLC的NSCLC组织学分类
Well-differentiated fetal adenocarcinoma,分化良好的胎儿型腺癌
Who is at Risk,哪些人是结直肠癌的危险人群
Wide surgical resection and anastomosis,广泛切除联合肠吻合术
Women who have received thoracic radiation,既往接受过胸部放疗的女性
Women with limited life expectancy,预期寿命有限的女性
adult primary liver cancer,成人原发性肝癌
and offers palliation of symptomatic metastatic disease,且可能缓解肿瘤转移产生的症状
"be discussed at a meeting,",​开会讨论，
childhood hepatocellular carcinoma,儿童肝细胞癌
childhood liver cancer,儿童肝癌
ductal breast carcinoma in situ,导管原位癌
extensive stage small cell lung cancer,广泛期小细胞肺癌
iFOBT detects >60% and ≤90% of CRCs,iFOBT对CRC的检出率＞60%且≤90%
inflammatory breast cancer,炎性乳腺癌
limited stage small cell lung cancer,局限期小细胞肺癌
lobular breast carcinoma in situ,小叶原位癌
male breast cancer,男性乳腺癌
non-small cell lung cancer,非小细胞肺癌
occult lung cancer,隐匿性肺癌
occult non-small cell lung cancer,隐匿性非小细胞肺癌
recurrent breast cancer,复发性乳腺癌
recurrent childhood liver cancer,儿童肝癌复发
recurrent colon cancer,复发性结肠癌
recurrent esophageal cancer,复发性食管癌
recurrent non-small cell lung cancer,非小细胞肺癌复发
recurrent rectal cancer,复发性直肠癌
recurrent small cell lung cancer,小细胞肺癌复发
small cell lung cancer,小细胞肺癌
stage 0 NSCLC,0期NSCLC
stage 0 colon cancer,0期结肠癌
stage 0 esophageal cancer,0期食管癌
stage 0 gastric cancer,0期胃癌
stage 0 non-small cell lung cancer,0期非小细胞肺癌
stage 0 rectal cancer,0期直肠癌
stage I breast cancer,I期乳腺癌
stage I colon cancer,I期结肠癌
stage I esophageal cancer,I期食管癌
stage I gastric cancer,I期胃癌
stage I non-small cell lung cancer,I期非小细胞肺癌
stage I rectal cancer,I期直肠癌
stage IA NSCLC,IA期NSCLC
stage II breast cancer,II期乳腺癌
stage II colon cancer,II期结肠癌
stage II esophageal cancer,II期食管癌
stage II gastric cancer,II期胃癌
stage II non-small cell lung cancer,II期非小细胞肺癌
stage II rectal cancer,II期直肠癌
stage III colon cancer,III期结肠癌
stage III esophageal cancer,III期食管癌
stage III gastric cancer,III期胃癌
stage III rectal cancer,III期直肠癌
stage IIIA NSCLC,IIIA期NSCLC
stage IIIA breast cancer,IIIA期乳腺癌
stage IIIA non-small cell lung cancer,IIIA期非小细胞肺癌
stage IIIB NSCLC,IIIB期NSCLC
stage IIIB breast cancer,IIIB期乳腺癌
stage IIIB non-small cell lung cancer,IIIB期非小细胞肺癌
stage IIIC breast cancer,IIIC期乳腺癌
stage IV NSCLC,IV期NSCLC
stage IV breast cancer,IV期乳腺癌
stage IV colon cancer,IV期结肠癌
stage IV disease,IV期肿瘤
stage IV esophageal cancer,IV期食管癌
stage IV gastric cancer,IV期胃癌
stage IV non-small cell lung cancer,IV期非小细胞肺癌
stage IV rectal cancer,IV期直肠癌
stages IIA NSCLC,IIA期NSCLC
triple-negative breast cancer,三阴性乳腺癌
–M0 includes M0(i+),–M0包括M0(i+)
